3;;
0.5855568787500001;0.7315822009999999;
0.7854102765000001;0.19900567425000001;
0.21387394783333333;0.2538263863333334;
4;;
18;2;
2;0.348265448;0.269011835
0;0.234727223;0.757319949
0;0.767184912;0.721171411
0;0.71667111;0.867750641
0;0.919303164;0.573783432
2;0.344657111;0.165592322
0;0.456945687;0.939763359
2;0.276023884;0.150339727
0;0.562195095;0.473443426
2;0.235105096;0.325536645
1;0.903213043;0.004042724
0;0.563295614;0.704394646
0;0.464132225;0.815030744
1;0.781520654;0.327890346
2;0.029144362;0.158528215
1;0.834918083;0.40419595
2;0.050047786;0.453949574
1;0.621989326;0.059893677
